	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T476			ε, 113									ε, 113	ε, 113																													ε, 113	ε, 113	ε, 113	ε, 113	'>' T416, 109	'<' T416, 110	'>=' T416, 111	'<=' T416, 112															
T477			ε, 105									ε, 105	ε, 105																													'and' T537 T477, 103	'or' T537 T477, 104																					
T478			ε, 108									ε, 108	ε, 108																															'==' T538 T478, 106	'!=' T538 T478, 107																			
T479																																'para' '(' T71 ')' 'faca' T365, 69																																
T480																																		'enquanto' '(' T72 ')' 'faca' T365, 81																														
T481																																			'repita' T73 'ate' T482, 82																													
T482		T539, 99									T539, 99																																							T539, 99	T539, 99	T539, 99							T539, 99	T539, 99	T539, 99	T539, 99		
T483			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150	ε, 151	ε, 151			ε, 151		ε, 151																					ε, 151																								'.' T423, 149	
T484																																					'se' '(' T72 ')' 'entao' T365 T540, 85																											
T485																																								'caso' '(' T72 ')' 'seja' T78 T541, 88																								
T486							'[' T75 ']', 148				'(' T48 ')', 150	ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T429, 149	
T487		T543, 146																																																									T542, 145	T542, 145	T542, 145	T542, 145		
T488												ε, 128		'..' T544, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T489		T544, 132									'(' T93 ')', 131																																																T544, 132	T544, 132	T544, 132	T544, 132		
T490																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T491		'id' T545, 147																																																														
T492		T547, 146																																																									T546, 145	T546, 145	T546, 145	T546, 145		
T493		T549, 146																																																									T548, 145	T548, 145	T548, 145	T548, 145		
T494			ε, 128											'..' T550, 127																						ε, 128						ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T495		T550, 132									'(' T93 ')', 131																																																T550, 132	T550, 132	T550, 132	T550, 132		
T496		T551 T552, 116									T551 T552, 116																																								T551 T552, 116	T551 T552, 116							T551 T552, 116	T551 T552, 116	T551 T552, 116	T551 T552, 116		
T497			ε, 113																																	ε, 113						ε, 113	ε, 113	ε, 113	ε, 113	'>' T437, 109	'<' T437, 110	'>=' T437, 111	'<=' T437, 112															
T498		T553 T554, 120									T553 T554, 120																																								T553 T554, 120	T553 T554, 120							T553 T554, 120	T553 T554, 120	T553 T554, 120	T553 T554, 120		
T499			ε, 119																																	ε, 119								ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T498 T499, 117	'-' T498 T499, 118												
T500		T555 T556, 116									T555 T556, 116																																								T555 T556, 116	T555 T556, 116							T555 T556, 116	T555 T556, 116	T555 T556, 116	T555 T556, 116		
T501			ε, 113																																	ε, 113			ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T440, 109	'<' T440, 110	'>=' T440, 111	'<=' T440, 112															
T502			ε, 105																																	ε, 105			ε, 105			'and' T557 T502, 103	'or' T557 T502, 104																					
T503			ε, 108																																	ε, 108			ε, 108					'==' T558 T503, 106	'!=' T558 T503, 107																			
T504																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T505		'id' T559, 147																																																														
T506		T561, 146																																																									T560, 145	T560, 145	T560, 145	T560, 145		
T507			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T447, 149	
T508																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T509		'id' T562, 147																																																														
T510																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T511		'id' T563, 147																																																														
T512		T565, 146																																																									T564, 145	T564, 145	T564, 145	T564, 145		
T513		T566 T567, 120									T566 T567, 120																																								T566 T567, 120	T566 T567, 120							T566 T567, 120	T566 T567, 120	T566 T567, 120	T566 T567, 120		
T514			ε, 119		ε, 119																																		ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T513 T514, 117	'-' T513 T514, 118												
T515		T568 T569, 124									'(' T93 ')', 126																																								T155 T570, 125	T155 T570, 125							T568 T569, 124	T568 T569, 124	T568 T569, 124	T568 T569, 124		
T516			ε, 123		ε, 123																																		ε, 123					ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T515 T516, 121	'/' T515 T516, 122										
T517		T571 T572, 124									'(' T93 ')', 126																																								T155 T573, 125	T155 T573, 125							T571 T572, 124	T571 T572, 124	T571 T572, 124	T571 T572, 124		
T518			ε, 123		ε, 123																																		ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T517 T518, 121	'/' T517 T518, 122										
T519		T574 T575, 114									T574 T575, 114																																							'~' T574 T575, 115	T574 T575, 114	T574 T575, 114							T574 T575, 114	T574 T575, 114	T574 T575, 114	T574 T575, 114		
T520		T576 T577, 116									T576 T577, 116																																								T576 T577, 116	T576 T577, 116							T576 T577, 116	T576 T577, 116	T576 T577, 116	T576 T577, 116		
T521			ε, 113		ε, 113																																		ε, 113					ε, 113	ε, 113	'>' T459, 109	'<' T459, 110	'>=' T459, 111	'<=' T459, 112															
T522																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T523		'id' T578, 147																																																														
T524		T580, 146																																																									T579, 145	T579, 145	T579, 145	T579, 145		
T525							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151	ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T466, 149	
T526																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T527		'id' T581, 147																																																														
T528																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T529		'id' T582, 147																																																														
T530		T584, 146																																																									T583, 145	T583, 145	T583, 145	T583, 145		
T531		T585 T586, 120									T585 T586, 120																																								T585 T586, 120	T585 T586, 120							T585 T586, 120	T585 T586, 120	T585 T586, 120	T585 T586, 120		
T532			ε, 119										ε, 119																													ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T531 T532, 117	'-' T531 T532, 118												
T533		T587 T588, 124									'(' T93 ')', 126																																								T155 T589, 125	T155 T589, 125							T587 T588, 124	T587 T588, 124	T587 T588, 124	T587 T588, 124		
T534			ε, 123										ε, 123																															ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T533 T534, 121	'/' T533 T534, 122										
T535		T590 T591, 120									T590 T591, 120																																								T590 T591, 120	T590 T591, 120							T590 T591, 120	T590 T591, 120	T590 T591, 120	T590 T591, 120		
T536			ε, 119									ε, 119	ε, 119																													ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T535 T536, 117	'-' T535 T536, 118												
T537			ε, 108									ε, 108	ε, 108																													ε, 108	ε, 108	'==' T592 T537, 106	'!=' T592 T537, 107																			
T538		T593 T594, 114									T593 T594, 114																																							'~' T593 T594, 115	T593 T594, 114	T593 T594, 114							T593 T594, 114	T593 T594, 114	T593 T594, 114	T593 T594, 114		
T539		T595 T596, 100									T595 T596, 100																																							T595 T596, 100	T595 T596, 100	T595 T596, 100							T595 T596, 100	T595 T596, 100	T595 T596, 100	T595 T596, 100		
T540			ε, 87									ε, 87	ε, 87																										'senao' T365, 86																									
																																							ε, 87																									
T541					'fim', 89																																		'senao' T10 'fim', 90																									
T542																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T543		'id' T597, 147																																																														
T544		T599, 146																																																									T598, 145	T598, 145	T598, 145	T598, 145		
T545							'[' T75 ']', 148				'(' T48 ')', 150	ε, 151		ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T491, 149	
T546																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T547		'id' T600, 147																																																														
T548																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T549		'id' T601, 147																																																														
T550		T603, 146																																																									T602, 145	T602, 145	T602, 145	T602, 145		
T551		T604 T605, 120									T604 T605, 120																																								T604 T605, 120	T604 T605, 120							T604 T605, 120	T604 T605, 120	T604 T605, 120	T604 T605, 120		
T552			ε, 119																																	ε, 119						ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T551 T552, 117	'-' T551 T552, 118												
T553		T606 T607, 124									'(' T93 ')', 126																																								T155 T608, 125	T155 T608, 125							T606 T607, 124	T606 T607, 124	T606 T607, 124	T606 T607, 124		
T554			ε, 123																																	ε, 123								ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T553 T554, 121	'/' T553 T554, 122										
T555		T609 T610, 120									T609 T610, 120																																								T609 T610, 120	T609 T610, 120							T609 T610, 120	T609 T610, 120	T609 T610, 120	T609 T610, 120		
T556			ε, 119																																	ε, 119			ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T555 T556, 117	'-' T555 T556, 118												
T557			ε, 108																																	ε, 108			ε, 108			ε, 108	ε, 108	'==' T611 T557, 106	'!=' T611 T557, 107																			
T558		T612 T613, 114									T612 T613, 114																																							'~' T612 T613, 115	T612 T613, 114	T612 T613, 114							T612 T613, 114	T612 T613, 114	T612 T613, 114	T612 T613, 114		
T559			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T505, 149	
T560																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T561		'id' T614, 147																																																														
T562			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																																	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T509, 149	
T563			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																									ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T511, 149	
T564																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T565		'id' T615, 147																																																														
T566		T616 T617, 124									'(' T93 ')', 126																																								T155 T618, 125	T155 T618, 125							T616 T617, 124	T616 T617, 124	T616 T617, 124	T616 T617, 124		
T567			ε, 123		ε, 123																																		ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T566 T567, 121	'/' T566 T567, 122										
T568		T620, 146																																																									T619, 145	T619, 145	T619, 145	T619, 145		
T569			ε, 128		ε, 128									'..' T621, 127																									ε, 128					ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T570		T621, 132									'(' T93 ')', 131																																																T621, 132	T621, 132	T621, 132	T621, 132		
T571		T623, 146																																																									T622, 145	T622, 145	T622, 145	T622, 145		
T572			ε, 128		ε, 128									'..' T624, 127																									ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T573		T624, 132									'(' T93 ')', 131																																																T624, 132	T624, 132	T624, 132	T624, 132		
T574		T625 T626, 116									T625 T626, 116																																								T625 T626, 116	T625 T626, 116							T625 T626, 116	T625 T626, 116	T625 T626, 116	T625 T626, 116		
T575			ε, 113		ε, 113																																		ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T519, 109	'<' T519, 110	'>=' T519, 111	'<=' T519, 112															
T576		T627 T628, 120									T627 T628, 120																																								T627 T628, 120	T627 T628, 120							T627 T628, 120	T627 T628, 120	T627 T628, 120	T627 T628, 120		
T577			ε, 119		ε, 119																																		ε, 119					ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T576 T577, 117	'-' T576 T577, 118												
T578							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151	ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T523, 149	
T579																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T580		'id' T629, 147																																																														
T581							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T527, 149	
T582			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150		ε, 151	ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T529, 149	
T583																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T584		'id' T630, 147																																																														
T585		T631 T632, 124									'(' T93 ')', 126																																								T155 T633, 125	T155 T633, 125							T631 T632, 124	T631 T632, 124	T631 T632, 124	T631 T632, 124		
T586			ε, 123										ε, 123																													ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T585 T586, 121	'/' T585 T586, 122										
T587		T635, 146																																																									T634, 145	T634, 145	T634, 145	T634, 145		
T588			ε, 128										ε, 128	'..' T636, 127																														ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T589		T636, 132									'(' T93 ')', 131																																																T636, 132	T636, 132	T636, 132	T636, 132		
T590		T637 T638, 124									'(' T93 ')', 126																																								T155 T639, 125	T155 T639, 125							T637 T638, 124	T637 T638, 124	T637 T638, 124	T637 T638, 124		
T591			ε, 123									ε, 123	ε, 123																													ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T590 T591, 121	'/' T590 T591, 122										
T592		T640 T641, 114									T640 T641, 114																																							'~' T640 T641, 115	T640 T641, 114	T640 T641, 114							T640 T641, 114	T640 T641, 114	T640 T641, 114	T640 T641, 114		
T593		T642 T643, 116									T642 T643, 116																																								T642 T643, 116	T642 T643, 116							T642 T643, 116	T642 T643, 116	T642 T643, 116	T642 T643, 116		
T594			ε, 113									ε, 113	ε, 113																															ε, 113	ε, 113	'>' T538, 109	'<' T538, 110	'>=' T538, 111	'<=' T538, 112															
T595		T644 T645, 114									T644 T645, 114																																							'~' T644 T645, 115	T644 T645, 114	T644 T645, 114							T644 T645, 114	T644 T645, 114	T644 T645, 114	T644 T645, 114		
T596			T646, 101									T646, 101	T646, 101																										T646, 101			T646, 101	T646, 101	T647, 102	T647, 102																			
			T647, 102									T647, 102	T647, 102																										T647, 102																									
T597							'[' T75 ']', 148				'(' T48 ')', 150	ε, 151		ε, 151																												ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T543, 149	
T598																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T599		'id' T648, 147																																																														
T600							'[' T75 ']', 148				'(' T48 ')', 150	ε, 151																																ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T547, 149	
T601			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																						ε, 151						ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T549, 149	
T602																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T603		'id' T649, 147																																																														
T604		T650 T651, 124									'(' T93 ')', 126																																								T155 T652, 125	T155 T652, 125							T650 T651, 124	T650 T651, 124	T650 T651, 124	T650 T651, 124		
T605			ε, 123																																	ε, 123						ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T604 T605, 121	'/' T604 T605, 122										
T606		T654, 146																																																									T653, 145	T653, 145	T653, 145	T653, 145		
T607			ε, 128											'..' T655, 127																						ε, 128								ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T608		T655, 132									'(' T93 ')', 131																																																T655, 132	T655, 132	T655, 132	T655, 132		
T609		T656 T657, 124									'(' T93 ')', 126																																								T155 T658, 125	T155 T658, 125							T656 T657, 124	T656 T657, 124	T656 T657, 124	T656 T657, 124		
T610			ε, 123																																	ε, 123			ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T609 T610, 121	'/' T609 T610, 122										
T611		T659 T660, 114									T659 T660, 114																																							'~' T659 T660, 115	T659 T660, 114	T659 T660, 114							T659 T660, 114	T659 T660, 114	T659 T660, 114	T659 T660, 114		
T612		T661 T662, 116									T661 T662, 116																																								T661 T662, 116	T661 T662, 116							T661 T662, 116	T661 T662, 116	T661 T662, 116	T661 T662, 116		
T613			ε, 113																																	ε, 113			ε, 113					ε, 113	ε, 113	'>' T558, 109	'<' T558, 110	'>=' T558, 111	'<=' T558, 112															
T614			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																															ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T561, 149	
T615			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150																												ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T565, 149	
T616		T664, 146																																																									T663, 145	T663, 145	T663, 145	T663, 145		
T617			ε, 128		ε, 128									'..' T665, 127																									ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T618		T665, 132									'(' T93 ')', 131																																																T665, 132	T665, 132	T665, 132	T665, 132		
T619																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T620		'id' T666, 147																																																														
T621		T668, 146																																																									T667, 145	T667, 145	T667, 145	T667, 145		
T622																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T623		'id' T669, 147																																																														
T624		T671, 146																																																									T670, 145	T670, 145	T670, 145	T670, 145		
T625		T672 T673, 120									T672 T673, 120																																								T672 T673, 120	T672 T673, 120							T672 T673, 120	T672 T673, 120	T672 T673, 120	T672 T673, 120		
T626			ε, 119		ε, 119																																		ε, 119			ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T625 T626, 117	'-' T625 T626, 118												
T627		T674 T675, 124									'(' T93 ')', 126																																								T155 T676, 125	T155 T676, 125							T674 T675, 124	T674 T675, 124	T674 T675, 124	T674 T675, 124		
T628			ε, 123		ε, 123																																		ε, 123					ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T627 T628, 121	'/' T627 T628, 122										
T629							'[' T75 ']', 148				'(' T48 ')', 150		ε, 151																													ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T580, 149	
T630			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150		ε, 151																													ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T584, 149	
T631		T678, 146																																																									T677, 145	T677, 145	T677, 145	T677, 145		
T632			ε, 128										ε, 128	'..' T679, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T633		T679, 132									'(' T93 ')', 131																																																T679, 132	T679, 132	T679, 132	T679, 132		
T634																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T635		'id' T680, 147																																																														
T636		T682, 146																																																									T681, 145	T681, 145	T681, 145	T681, 145		
T637		T684, 146																																																									T683, 145	T683, 145	T683, 145	T683, 145		
T638			ε, 128									ε, 128	ε, 128	'..' T685, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T639		T685, 132									'(' T93 ')', 131																																																T685, 132	T685, 132	T685, 132	T685, 132		
T640		T686 T687, 116									T686 T687, 116																																								T686 T687, 116	T686 T687, 116							T686 T687, 116	T686 T687, 116	T686 T687, 116	T686 T687, 116		
T641			ε, 113									ε, 113	ε, 113																													ε, 113	ε, 113	ε, 113	ε, 113	'>' T592, 109	'<' T592, 110	'>=' T592, 111	'<=' T592, 112															
T642		T688 T689, 120									T688 T689, 120																																								T688 T689, 120	T688 T689, 120							T688 T689, 120	T688 T689, 120	T688 T689, 120	T688 T689, 120		
T643			ε, 119									ε, 119	ε, 119																															ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T642 T643, 117	'-' T642 T643, 118												
T644		T690 T691, 116									T690 T691, 116																																								T690 T691, 116	T690 T691, 116							T690 T691, 116	T690 T691, 116	T690 T691, 116	T690 T691, 116		
T645			ε, 113									ε, 113	ε, 113																										ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T595, 109	'<' T595, 110	'>=' T595, 111	'<=' T595, 112															
T646			ε, 105									ε, 105	ε, 105																										ε, 105			'and' T692 T646, 103	'or' T692 T646, 104																					
T647			ε, 108									ε, 108	ε, 108																										ε, 108					'==' T693 T647, 106	'!=' T693 T647, 107																			
T648							'[' T75 ']', 148				'(' T48 ')', 150	ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T599, 149	
T649			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150																									ε, 151						ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T603, 149	
T650		T695, 146																																																									T694, 145	T694, 145	T694, 145	T694, 145		
T651			ε, 128											'..' T696, 127																						ε, 128						ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T652		T696, 132									'(' T93 ')', 131																																																T696, 132	T696, 132	T696, 132	T696, 132		
T653																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T654		'id' T697, 147																																																														
T655		T699, 146																																																									T698, 145	T698, 145	T698, 145	T698, 145		
T656		T701, 146																																																									T700, 145	T700, 145	T700, 145	T700, 145		
T657			ε, 128											'..' T702, 127																						ε, 128			ε, 128			ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T658		T702, 132									'(' T93 ')', 131																																																T702, 132	T702, 132	T702, 132	T702, 132		
T659		T703 T704, 116									T703 T704, 116																																								T703 T704, 116	T703 T704, 116							T703 T704, 116	T703 T704, 116	T703 T704, 116	T703 T704, 116		
T660			ε, 113																																	ε, 113			ε, 113			ε, 113	ε, 113	ε, 113	ε, 113	'>' T611, 109	'<' T611, 110	'>=' T611, 111	'<=' T611, 112															
T661		T705 T706, 120									T705 T706, 120																																								T705 T706, 120	T705 T706, 120							T705 T706, 120	T705 T706, 120	T705 T706, 120	T705 T706, 120		
T662			ε, 119																																	ε, 119			ε, 119					ε, 119	ε, 119	ε, 119	ε, 119	ε, 119	ε, 119		'+' T661 T662, 117	'-' T661 T662, 118												
T663																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T664		'id' T707, 147																																																														
T665		T709, 146																																																									T708, 145	T708, 145	T708, 145	T708, 145		
T666			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																									ε, 151					ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T620, 149	
T667																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T668		'id' T710, 147																																																														
T669			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150			ε, 151																									ε, 151			ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T623, 149	
T670																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T671		'id' T711, 147																																																														
T672		T712 T713, 124									'(' T93 ')', 126																																								T155 T714, 125	T155 T714, 125							T712 T713, 124	T712 T713, 124	T712 T713, 124	T712 T713, 124		
T673			ε, 123		ε, 123																																		ε, 123			ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123	ε, 123		ε, 123	ε, 123	'*' T672 T673, 121	'/' T672 T673, 122										
T674		T716, 146																																																									T715, 145	T715, 145	T715, 145	T715, 145		
T675			ε, 128		ε, 128									'..' T717, 127																									ε, 128					ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T676		T717, 132									'(' T93 ')', 131																																																T717, 132	T717, 132	T717, 132	T717, 132		
T677																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T678		'id' T718, 147																																																														
T679		T720, 146																																																									T719, 145	T719, 145	T719, 145	T719, 145		
T680			ε, 151				'[' T75 ']', 148				'(' T48 ')', 150		ε, 151	ε, 151																														ε, 151	ε, 151	ε, 151	ε, 151	ε, 151	ε, 151		ε, 151	ε, 151	ε, 151	ε, 151									'.' T635, 149	
T681																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T682		'id' T721, 147																																																														
T683																																																											'literalint', 141	'literalreal', 142	'literallogico', 143	'literaltexto', 144		
T684		'id' T722, 147																																																														
T685		T724, 146																																																									T723, 145	T723, 145	T723, 145	T723, 145		
T686		T725 T726, 120									T725 T726, 120																																								T725 T726, 120	T725 T726, 120							T725 T726, 120	T725 T726, 120	T725 T726, 120	T725 T726, 120		
