	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T125		T167 T168, 78		T167 T168, 78																						T167 T168, 78	T167 T168, 78	T167 T168, 78	T167 T168, 78	T167 T168, 78	T167 T168, 78	T167 T168, 78		T167 T168, 78	T167 T168, 78		T167 T168, 78			T167 T168, 78																								
T126		T169 T170, 114									T169 T170, 114																																							'~' T169 T170, 115	T169 T170, 114	T169 T170, 114							T169 T170, 114	T169 T170, 114	T169 T170, 114	T169 T170, 114		
T127												T171, 101																														T171, 101	T171, 101	T172, 102	T172, 102																			
												T172, 102																																																				
T128																													'escreva' '(' T48 ')', 63																																			
T129																														'leia' '(' T48 ')', 64																																		
T130																																T173, 66		T174, 67	T175, 68																													
T131				'inicio' T4 'fim', 2																																																												
T132																															'retorne' T176, 65																																	
T133		'id' T177, 147																																																														
T134			ε, 61													':' T94, 59		':=' T176, 60																		ε, 61																												
T135																												'pule' 'id', 62																																				
T136																																					T178, 83			T179, 84																								
T137		T180 T181, 116									T180 T181, 116																																								T180 T181, 116	T180 T181, 116							T180 T181, 116	T180 T181, 116	T180 T181, 116	T180 T181, 116		
T138			ε, 113		ε, 113																																					ε, 113	ε, 113	ε, 113	ε, 113	'>' T96, 109	'<' T96, 110	'>=' T96, 111	'<=' T96, 112															
T139			ε, 105		ε, 105																																					'and' T182 T139, 103	'or' T182 T139, 104																					
T140			ε, 108		ε, 108																																							'==' T183 T140, 106	'!=' T183 T140, 107																			
T141																																'para' '(' T71 ')' 'faca' T76, 69																																
T142																																		'enquanto' '(' T72 ')' 'faca' T76, 81																														
T143																																			'repita' T73 'ate' T144, 82																													
T144		T184, 99									T184, 99																																							T184, 99	T184, 99	T184, 99							T184, 99	T184, 99	T184, 99	T184, 99		
T145			ε, 151		ε, 151		'[' T75 ']', 148				'(' T48 ')', 150					ε, 151		ε, 151																					ε, 151																								'.' T104, 149	
T146																																					'se' '(' T72 ')' 'entao' T76 T185, 85																											
T147																																								'caso' '(' T72 ')' 'seja' T78 T186, 88																								
T148		T187 T188, 152																																																									T187 T188, 152	T187 T188, 152	T187 T188, 152	T187 T188, 152		
T149		T194 T195, 53		T192, 50																						'pare', 46	'continue', 52	T196, 54	T189, 47	T190, 48	T193, 51	T191, 49		T191, 49	T191, 49		T197, 55			T197, 55																								
T150		T108 T109, 94			ε, 95																																		ε, 95																				T108 T109, 94	T108 T109, 94	T108 T109, 94	T108 T109, 94		
T151							'[' T75 ']', 148	ε, 151			'(' T48 ')', 150		ε, 151																																																		'.' T111, 149	
T152			ε, 12		ε, 12					'=' '(' T48 ')', 11																																																						
T153		T199, 146																																																									T198, 145	T198, 145	T198, 145	T198, 145		
T154			ε, 128											'..' T200, 127																												ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128	ε, 128		ε, 128	ε, 128	ε, 128	ε, 128										
T155																																																			'+', 130	'-', 129												
T156		T200, 132									'(' T93 ')', 131																																																T200, 132	T200, 132	T200, 132	T200, 132		
